N,P,K,temperature,humidity,ph,rainfall,label
82.47,34.01,41.96,27.99,73.12,5.31,1275.51,riz
111.97,27.02,41.24,22.21,89.4,6.66,1476.04,riz
70.91,18.67,29.13,27.25,78.64,5.58,1995.41,riz
68.37,20.84,30.99,26.56,85.7,5.4,1868.5,riz
95.54,15.93,38.23,23.71,71.3,6.9,2455.32,riz
108.5,21.09,22.93,28.84,78.8,5.24,1843.73,riz
62.06,33.19,27.76,28.63,76.23,6.04,1910.72,riz
71.09,34.39,43.25,31.39,87.9,6.2,2398.44,riz
65.31,18.92,21.36,25.25,77.77,5.54,2277.36,riz
81.41,20.62,36.28,23.41,86.04,5.15,2482.95,riz
106.33,18.97,20.17,30.15,84.14,6.46,2202.65,riz
64.44,22.17,23.48,30.63,82.47,5.66,1282.63,riz
78.66,21.5,41.89,28.38,87.74,5.94,1355.47,riz
102.79,30.22,36.84,29.71,79.88,6.05,1755.8,riz
61.53,17.16,20.94,28.36,76.29,6.02,2379.84,riz
74.96,23.21,42.67,24.29,71.54,5.58,1409.59,riz
115.78,31.16,39.0,30.71,86.07,5.37,2360.33,riz
92.36,31.15,46.88,25.18,72.2,5.46,1755.24,riz
109.08,32.21,20.21,27.11,78.35,5.44,1355.82,riz
80.26,33.86,29.7,27.19,84.06,5.73,2463.32,riz
117.75,20.04,34.92,25.01,75.7,5.07,1992.43,riz
90.16,16.03,28.36,31.08,74.79,5.29,1836.29,riz
119.14,19.84,40.16,29.62,74.75,6.46,1678.12,riz
97.94,27.67,36.07,22.9,86.71,5.64,1442.47,riz
62.45,26.82,40.33,22.17,80.24,5.45,2038.72,riz
70.46,28.82,31.6,31.37,72.75,5.68,1347.52,riz
115.48,32.55,27.74,28.6,86.34,6.11,1888.55,riz
74.51,16.86,46.92,31.0,82.66,5.68,1653.97,riz
103.56,32.94,46.61,29.8,82.84,5.17,1410.12,riz
113.91,27.13,20.28,23.01,83.27,5.01,1409.05,riz
92.92,28.84,39.56,24.24,84.24,5.47,1623.02,riz
104.79,27.99,45.48,28.58,81.37,5.19,1678.03,riz
75.91,19.88,49.19,25.93,87.84,6.26,2233.25,riz
90.16,26.54,34.78,23.95,84.45,5.56,1231.61,riz
98.73,18.54,48.21,31.54,88.3,5.74,1220.09,riz
115.7,23.56,49.0,31.64,87.06,5.59,1700.63,riz
111.07,21.34,25.08,27.57,88.72,6.39,1941.08,riz
65.83,27.3,49.7,23.4,80.37,6.75,2163.0,riz
101.82,29.05,30.78,24.94,86.19,6.62,2327.19,riz
114.79,25.23,35.05,29.98,83.0,6.4,2234.53,riz
113.4,21.76,31.27,22.94,81.57,5.07,1805.28,riz
92.56,20.73,37.72,22.31,70.75,6.65,1668.25,riz
67.62,25.44,43.1,24.16,82.46,5.17,1267.19,riz
91.88,25.81,39.12,29.26,89.52,6.03,1619.84,riz
107.71,20.42,33.17,22.78,70.51,6.93,2286.77,riz
101.76,23.18,25.2,23.56,75.0,6.1,2128.97,riz
99.61,20.6,48.65,29.38,81.09,6.22,1745.48,riz
74.86,22.12,42.74,22.14,72.32,5.09,1252.95,riz
111.33,29.07,34.23,22.98,79.83,5.95,1425.16,riz
86.03,22.97,38.48,28.35,70.91,5.75,2013.62,riz
90.19,32.13,39.76,23.63,71.41,6.28,1234.46,riz
95.15,33.8,37.26,25.88,82.87,5.92,1909.3,riz
116.49,22.72,48.84,31.05,73.92,5.14,1331.01,riz
61.09,16.89,40.49,22.71,76.38,6.69,1230.25,riz
108.87,20.64,23.54,28.97,82.58,6.75,2155.59,riz
108.21,20.64,25.32,29.51,86.14,6.98,1736.4,riz
82.32,30.53,30.22,31.31,87.17,5.86,2176.13,riz
105.27,17.06,47.08,27.05,86.53,5.64,2364.18,riz
83.35,15.22,47.16,22.91,76.39,6.9,2435.79,riz
94.41,27.64,33.45,24.93,76.57,6.35,2178.09,riz
107.49,30.79,22.74,26.94,71.15,6.1,1773.99,riz
113.26,22.02,23.51,23.43,85.23,6.24,1331.46,riz
65.05,29.02,22.18,30.22,84.12,5.16,1310.29,riz
119.2,22.49,31.12,30.13,88.94,6.97,2179.39,riz
82.58,16.67,43.31,27.58,78.48,6.81,1344.56,riz
89.56,15.23,34.06,22.56,72.38,5.24,2043.97,riz
104.76,26.67,48.87,25.75,75.71,6.74,1490.67,riz
117.79,15.24,49.1,22.43,87.82,6.06,2490.85,riz
64.43,26.08,49.08,27.23,82.59,6.39,1790.9,riz
97.65,26.69,47.03,22.45,75.62,6.9,2357.34,riz
87.34,27.4,28.32,23.88,79.27,5.71,1958.75,riz
64.66,34.49,49.59,28.98,80.72,5.62,2257.93,riz
101.08,18.25,47.33,30.23,89.0,6.45,1997.44,riz
85.09,33.65,45.98,22.45,70.53,5.75,2253.72,riz
119.24,18.01,37.82,25.81,89.4,6.68,2289.83,riz
88.12,23.3,28.2,22.56,87.29,6.63,2499.63,riz
119.8,26.11,43.07,31.45,86.99,5.49,1785.71,riz
67.75,34.08,38.19,24.29,83.43,6.24,1665.61,riz
66.81,28.43,35.61,29.72,80.4,6.7,1917.48,riz
93.66,32.53,32.1,23.34,70.58,6.51,2006.4,riz
102.24,19.26,24.09,22.15,77.01,6.18,1709.92,riz
86.25,33.08,30.45,27.14,85.67,5.79,2008.71,riz
111.74,33.99,24.41,31.27,79.84,5.52,1796.88,riz
118.8,24.85,29.86,28.33,74.8,5.15,1367.54,riz
67.68,18.04,24.16,28.41,73.64,5.69,2365.82,riz
88.44,28.35,25.17,23.92,70.82,5.34,1562.17,riz
70.62,16.77,23.62,26.61,74.13,5.73,1854.44,riz
101.42,15.79,43.98,28.28,71.64,6.75,2397.13,riz
63.66,20.54,44.19,29.48,73.69,5.42,1681.61,riz
89.07,27.37,31.07,26.63,84.95,5.07,1528.17,riz
102.8,32.9,35.35,27.32,72.14,5.89,1892.4,riz
74.55,20.38,31.32,22.2,76.44,5.42,1625.75,riz
67.19,32.81,37.81,28.79,85.78,6.0,1313.0,riz
92.23,26.74,42.36,26.32,72.55,5.57,1672.01,riz
98.76,26.42,30.68,31.87,82.12,5.47,1332.32,riz
69.17,19.92,24.82,23.87,75.7,5.35,2365.8,riz
64.81,25.49,32.31,31.82,72.24,5.8,2460.31,riz
111.93,31.34,27.74,23.71,83.37,6.86,1923.79,riz
94.3,20.6,43.08,23.87,76.47,5.85,1859.89,riz
74.54,17.3,38.32,24.89,81.62,5.31,1825.48,riz
91.96,16.04,30.1,23.34,71.27,6.98,1619.06,riz
108.59,20.09,40.45,29.6,81.91,5.94,1735.39,riz
80.93,33.59,44.92,31.65,72.49,6.46,2419.84,riz
70.87,16.33,42.23,27.74,86.84,5.28,2233.85,riz
72.1,18.27,24.93,30.15,83.3,6.05,1666.48,riz
112.63,22.85,44.5,26.39,77.54,5.93,1591.79,riz
104.86,25.05,26.97,31.0,77.68,6.09,2378.41,riz
97.45,17.34,48.19,28.28,76.7,5.28,2232.23,riz
97.2,25.67,46.82,29.89,73.03,5.62,1523.04,riz
104.64,15.67,37.1,29.62,87.54,5.68,2267.63,riz
66.64,31.93,23.82,25.97,85.95,5.3,1498.03,riz
103.34,29.4,39.23,28.94,80.85,5.5,1649.4,riz
70.9,33.17,37.5,26.01,79.24,6.89,1399.36,riz
95.17,25.12,38.34,22.18,87.44,6.86,1934.67,riz
101.8,33.45,41.22,23.53,81.53,6.21,1751.37,riz
104.19,33.69,47.77,26.51,72.26,6.97,2290.57,riz
67.48,33.42,46.1,27.19,81.83,5.8,1271.19,riz
80.11,31.06,20.14,25.33,77.96,6.07,2395.81,riz
80.78,21.94,42.13,26.52,74.49,5.9,1383.11,riz
70.58,24.97,32.57,31.15,77.25,6.16,2021.94,riz
60.79,28.27,25.34,31.61,72.97,5.83,1310.95,riz
119.81,25.04,37.86,22.67,85.0,5.42,2367.47,riz
72.31,18.81,21.1,26.72,81.3,5.13,2208.19,riz
87.2,25.49,33.22,26.01,81.19,5.31,1436.51,riz
111.71,33.92,31.2,24.71,82.88,5.82,1233.0,riz
69.37,29.32,39.77,22.27,74.44,5.46,2073.46,riz
61.18,17.08,44.0,23.79,83.05,5.48,1329.27,riz
74.59,29.45,45.67,30.3,77.94,6.34,1466.48,riz
77.59,32.93,20.39,22.86,74.16,5.05,1435.87,riz
94.98,23.43,46.78,30.17,76.84,5.52,1693.6,riz
95.42,20.36,38.72,26.09,81.04,5.87,1582.81,riz
116.91,30.27,24.2,30.68,79.75,6.79,2239.81,riz
85.51,15.45,28.06,27.42,82.67,5.52,1381.16,riz
110.1,34.69,35.77,23.72,75.45,5.04,2388.59,riz
67.07,26.53,28.22,27.54,83.03,6.66,1468.35,riz
60.66,17.74,47.0,30.74,81.95,6.2,2064.55,riz
70.52,33.29,32.56,25.83,80.38,5.09,1416.17,riz
104.28,16.66,38.09,24.45,77.79,5.58,1662.37,riz
103.14,20.94,36.99,26.76,83.27,6.87,2152.34,riz
72.9,15.62,27.87,27.95,71.03,5.99,1975.9,riz
80.05,30.42,23.2,22.75,84.56,5.99,2094.92,riz
86.09,19.93,44.57,29.99,83.89,5.54,1967.3,riz
81.66,16.83,47.52,23.37,89.0,5.89,1440.67,riz
92.51,32.46,41.97,30.07,83.18,6.38,2303.95,riz
74.98,24.79,26.64,31.88,88.88,5.08,2117.25,riz
115.51,18.61,37.04,31.15,70.68,6.39,1586.55,riz
115.46,34.42,48.33,26.74,87.24,6.69,1614.83,riz
109.73,15.74,37.89,24.3,72.41,5.15,2105.18,riz
80.39,29.5,21.96,25.15,80.79,6.58,1614.38,riz
97.55,32.72,38.48,24.33,70.49,6.74,1227.65,riz
112.48,25.58,48.17,29.99,89.96,5.7,2197.34,riz
84.12,24.6,38.83,30.74,89.68,6.54,1743.1,riz
85.28,29.75,27.16,23.1,77.09,5.57,1585.2,riz
74.02,15.84,20.54,31.88,78.56,5.77,2083.54,riz
73.1,34.0,43.59,22.89,78.35,6.76,2428.15,riz
88.04,27.27,25.01,31.91,74.63,6.89,2044.54,riz
96.46,25.25,26.92,23.77,74.41,5.37,2213.46,riz
81.01,16.16,49.07,30.84,88.56,6.99,1426.06,riz
83.77,30.16,40.88,23.54,86.32,5.45,1490.96,riz
92.22,26.86,37.4,22.91,87.55,5.53,1368.37,riz
113.32,34.11,45.86,30.1,83.1,6.1,1313.08,riz
84.51,22.45,27.79,29.23,79.92,5.16,1486.24,riz
101.0,16.52,45.54,26.95,79.61,6.18,2272.09,riz
80.87,28.56,36.97,24.67,87.57,6.59,2055.99,riz
111.03,32.35,41.25,30.37,83.95,6.36,2004.19,riz
105.16,18.17,46.43,30.72,70.58,6.65,1367.53,riz
80.11,29.87,24.82,30.18,86.64,6.01,1208.3,riz
77.22,27.34,49.44,28.32,75.2,6.27,1901.98,riz
